tenant_id,provider_type,idle_timeout_min,session_max_h,mfa_required,mfa_required_for_roles,mfa_allowed_methods,password_complexity,metadata_url,entity_id,x509_cert,provider_label,scim_token_hash,scim_token_last_four,jit_provisioning,enforce_for_non_admins,password_expiry_days,created_at,updated_at,scim_group_role_map
8be438f4-0b86-4c2e-bc75-b6803ee580e5,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:48.862537+00,2026-07-16 08:46:48.862537+00,{}
15921990-d0d2-4e03-ad21-3fbcad418b3e,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:48.862438+00,2026-07-16 08:46:48.862438+00,{}
59696bfb-8cc1-45a7-8533-c67da35161c9,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:51.302668+00,2026-07-16 08:46:51.302668+00,{}
3692aaca-ca09-4d14-8a83-99ed4bebfb6d,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:49.298561+00,2026-07-16 08:46:49.298561+00,{}
06400000-0000-4000-8000-000000000000,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:00.150678+00,2026-07-16 08:47:00.150678+00,{}
da99cde9-df4a-4400-94f1-1e440e8134f9,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:04.087434+00,2026-07-16 08:47:04.087434+00,{}
efffe07d-48ca-4bf1-8383-4edcca7e5e78,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:46:59.519727+00,2026-07-16 08:46:59.519727+00,{}
81603a36-96a1-4e98-819a-704c6ebaca6c,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:20.800816+00,2026-07-16 08:47:20.800816+00,{}
76baddc7-28f9-4597-9d9a-6c7ad0933a14,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:26.587051+00,2026-07-16 08:47:26.587051+00,{}
f704f307-1c7e-46f2-88ca-c178ebb77509,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:33.45587+00,2026-07-16 08:47:33.45587+00,{}
ef96edc6-3e51-4eb9-9def-4b93eae5832b,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:28.243198+00,2026-07-16 08:47:28.243198+00,{}
5895c6c7-5941-4915-9480-58239de1419a,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:30.37609+00,2026-07-16 08:47:30.37609+00,{}
293a9e53-411d-4f7f-bc8d-cbaea3f578a4,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:30.39994+00,2026-07-16 08:47:30.39994+00,{}
3b07678c-c9b2-4fbb-b120-07dc440e03bc,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:00.319628+00,2026-07-16 08:48:00.319628+00,{}
8b82e377-5fc4-49ec-8f67-3a894fd24c10,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:54.524189+00,2026-07-16 08:47:54.524189+00,{}
3de45c9b-d87a-422c-8d2c-3dd244283673,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:47:46.844112+00,2026-07-16 08:47:46.844112+00,{}
f2dd97a9-49cb-4a2f-9f85-3556d416992a,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:16.572724+00,2026-07-16 08:48:16.572724+00,{}
d0594c0f-6bef-4dfe-9956-e8ea7adc2129,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:13.207168+00,2026-07-16 08:48:13.207168+00,{}
4ad31af9-b582-4fe8-94ca-4a9fe201c442,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:16.14063+00,2026-07-16 08:48:16.14063+00,{}
11a5881f-9513-48d8-9db4-0468b8513892,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:06.764482+00,2026-07-16 08:48:06.764482+00,{}
50feb05f-9ca6-46b6-b598-8bc4bc12f1f4,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:22.345693+00,2026-07-16 08:48:22.345693+00,{}
aedb38f4-f172-432c-97a3-e7590662bb71,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:20.965419+00,2026-07-16 08:48:20.965419+00,{}
6a085870-bd35-4431-813b-6effadc17410,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 08:48:26.888712+00,2026-07-16 08:48:26.888712+00,{}
49600000-0000-4000-8000-000000000001,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 09:33:09.345775+00,2026-07-16 09:33:09.345775+00,{}
16300000-0000-4000-8000-000000000001,password,60,8,t,"{org.access.admin,org.schema.admin}",{totp},strong,,,,,,,f,f,0,2026-07-16 09:40:08.980126+00,2026-07-16 09:40:08.980126+00,{}
